title
百年校庆筹备工作办公室
保卫部（处）
安全生产管理办公室
保密办公室
户政办公室
军训征兵办公室
内保办公室
人民武装部
消防交通管理办公室
校区管理办公室
校卫队
治安办公室
综合事务办公室
综合治理办公室
保卫部（处）、人民武装部
半导体照明研究中心
材料化学教研室
材料科学研究所
材料物理教研室
电子物理教研室
复旦-安捷利全印刷电子研发中心
复旦-北泰城市管网安全联合研究中心
复旦大学-江苏柏鹤联合涂料技术中心
复旦-光朗信联合实验室
复旦-浩力森水性表面处理新材料联合研究中心
复旦-恒德柔性显示技术联合实验室
复旦-九洲光纤技术研发中心
复旦-中能柔性光电薄膜联合研究中心
高密度封装技术研究所
光纤研究中心
国家微电子材料与元器件微分析中心
纳米技术发展中心
先进涂料教育部工程研究中心
复旦大学-三星电子封装可靠性联合实验室
材料科学系
出纳科
管理科
会计科
基建与修缮财务办公室
集中收付办公室
科研经费管理办公室
一卡通管理结算中心
预决算管理办公室
院系财务委派办公室
综合管理办公室
财务处
采购与招标管理中心
产业化与校产管理办公室
上海学术与文化创新共享中心
出版社
出版社有限公司
出土文献与古文字研究中心
大气研究院
大气与海洋科学系
大数据试验场研究院（筹）
中国网络空间战略研究所
大数据研究院
大数据学院
上海先进通信与数据科学研究院
保管利用室
行政技术室
校史室
业务指导室
医学综合室
征集编研室
档案馆
信访室
信息室
党委办公室
党委党校办公室
党委教师工作部
党委政策研究室
第二附属中学
督办调研办公室
筹资工作办公室
基金管理办公室
校董会秘书处
校友联络办公室
对外联络与发展处
复旦-耶鲁生物医学研究中心
摩尔根-谈生命科学研究中心
发育生物学研究所
规划和评估办公室
专项建设办公室
发展规划处
传播与国家治理研究中心
当代中国社会生活资料中心
复旦大学–加州大学当代中国研究中心
复旦广投研究中心
复旦-金圆两岸金融研究中心
复旦-美国加州大学当代中国研究中心
复旦-蒙特雷科技中国拉美研究中心
复旦-欧洲中国研究中心
国家建设研究中心
沪港发展联合研究所
金融研究中心
金砖国家研究中心
人文社会科学学术服务中心
上海高校智库研究和管理中心
上海论坛秘书处
社会科学数据研究中心
中国保险与社会安全研究中心
发展研究院
网络空间治理研究中心
比较法与普通法研究中心
法律硕士办公室
法治研究中心
复旦大学上海教育立法咨询与服务研究基地
高级律师学院
国际法研究中心
海关与涉外法律研究中心
环境资源与能源法研究中心
金融法研究中心
民商法研究中心
人权研究中心
日本与东亚国家法研究中心
上海自贸区法研究中心
司法改革研究中心
司法研究中心
司法与诉讼制度研究中心
医事法研究中心
知识产权研究中心
中国法律文化研究中心
法学院
放射医学研究所
X射线单晶衍射实验室
X射线多晶衍射实验室
电子显微镜实验室
核磁共振实验室
红外光谱实验室
拉曼光谱实验室
美国瓦里安技术中国有限公司合作应用实验室
气相色谱实验室
色谱/质谱实验室
顺磁共振实验室
图象分析实验室
无机成分分析实验室
分析测试中心
枫林校产
枫林校区管理委员会
枫林校区管理委员会办公室
枫林后勤办公室
枫林后勤餐饮部
枫林后勤车管部
枫林后勤工程部
枫林后勤接待部
枫林后勤日修部
枫林后勤设备维修部
枫林后勤校园管理部
枫林后勤宿舍管理部
枫林校区后勤服务中心
儿科研究所
儿童发育与疾病转化医学研究中心
儿童肝病中心
呼吸急救实验室
临床技能中心
上海市出生缺陷防治重点实验室
卫生部新生儿疾病重点实验室
转化中心
编辑部
儿保科
放射科
肺功能
教育培训部
康复科
科教科
麻醉科
肾脏风湿科
五官科
消化科
小儿内科
小儿外科
心超室
心内科
心血管科
新生儿科
血液肿瘤科
中西医结合研究室
重症医学科
附属儿科医院
妇产科研究所
上海市女性生殖内分泌相关疾病重点实验室
生殖调节研究中心
病理科
科教科
生殖与发育研究院
附属妇产科医院
肝炎二科
肝炎一科
感染二科
感染一科
结核科
科学研究部
检验科
教育科
附属公共卫生临床中心
上海市老年医学临床重点实验室
科教科
老年医学研究中心
